number,advertisement_text,time,review,sentiment
48,"Explore the world of nature.",2023-11-05 22:30:00,"Connect with nature through our guided nature tours. Discover the beauty of the natural world.",mixed
49,"Upgrade your home office.",2023-11-05 22:45:00,"Enhance your productivity with our home office solutions. Create a productive work environment.",negative
50,"Immerse in the world of fashion.",2023-11-05 23:00:00,"Dive into the fashion world with our trendy clothing collection. Stay stylish and confident.",positive
51,"Discover the beauty of travel.",2023-11-05 23:15:00,"Explore breathtaking destinations with our travel packages. Create memorable travel experiences.",positive
52,"Elevate your fitness journey.",2023-11-05 23:30:00,"Achieve your fitness goals with our state-of-the-art fitness equipment. Unleash your potential.",neutral
53,"Step into the world of gaming.",2023-11-05 23:45:00,"Experience the excitement of gaming with our gaming accessories. Level up your gaming adventures.",neutral
54,"Cook like a professional chef.",2023-11-05 00:00:00,"Master the culinary art with our cooking classes. Prepare delicious dishes like a pro.",positive
55,"Stay ahead with tech innovations.",2023-11-05 00:15:00,"Be at the forefront of technology with our innovative tech gadgets. Embrace the future.",neutral
56,"Connect with the wonders of wildlife.",2023-11-05 00:30:00,"Embark on a wildlife adventure with our guided safaris. Witness the magic of the animal kingdom.",mixed
57,"Optimize your home office setup.",2023-11-05 00:45:00,"Enhance your productivity with our ergonomic home office solutions. Work smarter, not harder.",negative
58,"Immerse in the world of arts.",2023-11-05 01:00:00,"Explore your artistic side with our art workshops. Create captivating artworks and express yourself.",positive
59,"Feel the adrenaline of motorsports.",2023-11-05 01:15:00,"Get your heart racing with our motorsports events. Feel the rush of speed and excitement.",positive
60,"Upgrade your outdoor adventure gear.",2023-11-05 01:30:00,"Equip yourself for thrilling outdoor expeditions with our high-quality adventure gear. Conquer the wilderness.",neutral
61,"Escape to virtual realms.",2023-11-05 01:45:00,"Experience immersive virtual reality adventures with our VR headsets. Enter new dimensions of entertainment.",neutral
62,"Explore the art of baking.",2023-11-05 02:00:00,"Master the art of baking with our baking classes. Create delectable pastries and desserts.",positive
63,"Embrace sustainability with tech.",2023-11-05 02:15:00,"Contribute to a sustainable future with our eco-friendly tech innovations. Make a positive impact.",neutral
64,"Discover the wonders of marine life.",2023-11-05 02:30:00,"Dive into the ocean's mysteries with our marine life expeditions. Witness incredible underwater beauty.",mixed
65,"Enhance your home workspace.",2023-11-05 02:45:00,"Upgrade your home office setup with our modern workspace solutions. Boost your work-from-home experience.",negative
66,"Unlock your inner fashionista.",2023-11-05 03:00:00,"Unleash your style with our trendy fashion collection. Elevate your fashion game.",positive
67,"Journey to exotic destinations.",2023-11-05 03:15:00,"Embark on adventures to exotic locations with our travel packages. Discover the world's hidden gems.",positive
68,"Elevate your workout routine.",2023-11-05 03:30:00,"Maximize your fitness journey with our premium workout equipment. Achieve your fitness goals.",neutral
69,"Dive into virtual gaming worlds.",2023-11-05 03:45:00,"Experience the thrill of virtual gaming with our VR gaming accessories. Immerse yourself in virtual realms.",neutral
70,"Master the art of culinary delights.",2023-11-05 04:00:00,"Become a culinary expert with our cooking classes. Create gourmet dishes like a seasoned chef.",positive
71,"Stay updated with tech trends.",2023-11-05 04:15:00,"Keep up with the latest tech trends with our tech gadgets. Embrace the future of technology.",neutral
72,"Discover the magic of forest life.",2023-11-05 04:30:00,"Connect with the enchanting world of forests on our guided nature walks. Explore the wonders of nature.",mixed
73,"Revamp your home office space.",2023-11-05 04:45:00,"Transform your home office with our stylish and functional office furniture. Create a productive workspace.",negative
74,"Unleash your artistic expression.",2023-11-05 05:00:00,"Express your creativity with our art workshops. Dive into the world of colors and imagination.",positive
75,"Experience the thrill of racing.",2023-11-05 05:15:00,"Feel the rush of racing with our motorsports events. Speed up and embrace the adrenaline.",positive
76,"Elevate your outdoor adventures.",2023-11-05 05:30:00,"Enhance your outdoor expeditions with our adventure gear. Gear up for thrilling escapades.",neutral
77,"Step into virtual reality.",2023-11-05 05:45:00,"Explore virtual realms with our VR experiences. Immerse yourself in breathtaking virtual worlds.",neutral
78,"Delve into the art of baking.",2023-11-05 06:00:00,"Master the art of baking with our baking classes. Create delicious bread and pastries.",positive
79,"Embrace the future of tech.",2023-11-05 06:15:00,"Embrace the future of technology with our innovative tech gadgets. Stay ahead with cutting-edge tech.",neutral
80,"Explore the beauty of national parks.",2023-11-05 06:30:00,"Explore the pristine beauty of national parks with our guided tours. Discover the wonders of nature.",mixed
81,"Optimize your home office setup.",2023-11-05 06:45:00,"Optimize your home office with our ergonomic office solutions. Create a comfortable and productive workspace.",negative
82,"Fuck this Shit.",2023-11-05 06:45:00,"Fuck this shit",negative
